TSK,PSFC,X.U10.,X.V10.,X.Q2.,RAINC,RAINNC,SNOW,TSLB,SMOIS,date_time,Windspeed
271.7,98974,2.3,1.6,0.00377,0,0,0,279,0.3276,01.05.2018.00.00,2.8
283.6,101268,4.1,1.4,0.00565,0,0,0,273.2,1,01.05.2018.00.00,4.33
285,101347,5.9,2.2,0.00572,0,0,0,273.2,1,01.05.2018.00.00,6.3
279.4,100369,5.6,1.5,0.00427,0,0.3,0,280.8,0.3071,01.05.2018.00.00,5.8
278.6,100064,4.6,2.1,0.00496,0,0,0,280.6,0.3028,01.05.2018.00.00,5.06
281.05,101452,6.1,3.5,0.00576,0,0,0,273.2,1,01.05.2018.00.00,7.03
283.5,100999,6.2,0.6,0.00544,0,0,0,273.2,1,01.05.2018.00.00,6.23
283.8,101246,6.2,1.6,0.00575,0,0,0,273.2,1,01.05.2018.00.00,6.4
278,100458,3.9,1.2,0.00472,0,0,0,280.9,0.307,01.05.2018.00.00,4.08
284.1,101318,5.8,2,0.00572,0,0,0,273.2,1,01.05.2018.00.00,6.14
283.9,100996,8.6,-0.2,0.00536,0,0,0,273.2,1,01.05.2018.00.00,8.6
283.7,101345,6.1,2,0.00564,0,0,0,273.2,1,01.05.2018.00.00,6.42
284,101029,8.6,-0.3,0.00555,0,0,0,273.2,1,01.05.2018.00.00,8.61
279.3,100504,6.1,1.5,0.00436,0,0.6,0,280.8,0.3061,01.05.2018.00.00,6.28
278.3,100562,5.6,-0,0.00517,0,0.1,0,279.5,0.3347,01.05.2018.00.00,5.6
283.7,101130,6,2.3,0.00563,0,0,0,273.2,1,01.05.2018.00.00,6.43
284.9,101332,7,4.6,0.00566,0,0,0,273.2,1,01.05.2018.00.00,8.38
285.3,101339,6,2.8,0.005545,0,0,0,273.2,1,01.05.2018.00.00,6.62
284.70000000000005,101182,5.9,3.5,0.00543,0,0,0,273.2,1,01.05.2018.00.00,6.86
284.1,101300,5.8,2,0.00571,0,0,0,273.2,1,01.05.2018.00.00,6.14
272.1,101292.5,2.2,1.4,0.00393,0,0,0,278.8,0.2867,01.05.2018.00.00,2.61
284.5,101285,4.15,4.5,0.00561,0,0,0,273.2,1,01.05.2018.00.00,6.12
284.6,101408,6.1,2.7,0.00559,0,0,0,273.2,1,01.05.2018.00.00,6.67
276.4,99878,3.2,1.8,0.00461,0,0.3,0,280.3,0.3115,01.05.2018.00.00,3.67
283.9,101228,6,1.8,0.00567,0,0,0,273.2,1,01.05.2018.00.00,6.26
284.3,101415,6,2.7,0.00558,0,0,0,273.2,1,01.05.2018.00.00,6.58
280.3,100421,4.1,1.7,0.00436,0,0.3,0,281,0.3197,01.05.2018.00.00,4.44
273,99799,2.4,1.4,0.00412,0,0,0,278.8,0.3012,01.05.2018.00.00,2.78
285.5,101474,5.8,1.2,0.00577,0,0,0,273.2,1,01.05.2018.00.00,5.92
272.8,100201,1.9,2.1,0.0039,0,0,0,278.7,0.3125,01.05.2018.00.00,2.83
284.5,101412,6.1,2.7,0.00559,0,0,0,273.2,1,01.05.2018.00.00,6.67
272.4,99992,2,2,0.00397,0,0,0,278.9,0.3186,01.05.2018.00.00,2.83
277.8,99732,3.7,2.2,0.00466,0,0.2,0,280.2,0.6593,01.05.2018.00.00,4.3
285.4,101437,6.1,3.1,0.00559,0,0,0,273.2,1,01.05.2018.00.00,6.84
278.5,100199,4.2,1.9,0.00451,0,0.2,0,280.9,0.3112,01.05.2018.00.00,4.61
